source,interaction,target
AT1G51190,A,AT2G21050
AT5G10510,A,AT2G21050
AT5G17430,A,AT2G21050
AT5G65510,A,AT2G21050
AT5G17430,A,AT2G21440
AT3G20840,A,AT2G21590
AT3G20840,A,AT2G21790
AT5G10510,A,AT2G21790
AT5G17430,A,AT2G21790
AT5G57390,A,AT2G21790
AT5G65510,A,AT2G21790
AT5G17430,A,AT2G22400
AT5G65510,A,AT2G22400
AT3G20840,A,AT2G25270
AT3G20840,A,AT2G26180
AT1G51190,A,AT2G26180
AT5G10510,A,AT2G26180
AT5G17430,A,AT2G26180
AT5G57390,A,AT2G26180
AT5G65510,A,AT2G26180
AT1G51190,A,AT2G26440
AT5G10510,A,AT2G26440
AT5G65510,A,AT2G26440
AT3G20840,A,AT2G26760
AT5G65510,A,AT2G27590
AT3G20840,A,AT2G28130
AT5G65510,A,AT2G28130
AT3G20840,A,AT2G28190
AT3G20840,A,AT2G28450
AT5G17430,A,AT2G28450
AT3G20840,A,AT2G29540
AT5G10510,A,AT2G29540
AT5G17430,A,AT2G29540
AT5G57390,A,AT2G29540
AT5G65510,A,AT2G29540
AT3G20840,A,AT2G29760
AT5G17430,A,AT2G29760
AT5G57390,A,AT2G29760
AT5G65510,A,AT2G29760
AT3G20840,A,AT2G30000
AT5G17430,A,AT2G31660
AT3G20840,A,AT2G31725
AT5G10510,A,AT2G31725
AT5G17430,A,AT2G31725
AT5G57390,A,AT2G31725
AT5G65510,A,AT2G31725
AT3G20840,A,AT2G34260
AT1G51190,A,AT2G34260
AT5G10510,A,AT2G34260
AT5G17430,A,AT2G34260
AT5G57390,A,AT2G34260
AT5G65510,A,AT2G34260
AT3G20840,A,AT2G34570
AT5G10510,A,AT2G34570
AT5G17430,A,AT2G34570
AT5G57390,A,AT2G34570
AT5G65510,A,AT2G34570
AT5G17430,A,AT2G34750
AT3G20840,A,AT2G34900
AT1G51190,A,AT2G34900
AT5G10510,A,AT2G34900
AT5G17430,A,AT2G34900
AT5G65510,A,AT2G34900
AT3G20840,A,AT2G35750
AT1G51190,A,AT2G35750
AT5G10510,A,AT2G35750
AT5G17430,A,AT2G35750
AT3G20840,A,AT2G36010
AT5G65510,A,AT2G36010
AT3G20840,A,AT2G36200
AT5G17430,A,AT2G36200
AT5G65510,A,AT2G36200
AT3G20840,A,AT2G37210
AT1G51190,A,AT2G37210
AT5G10510,A,AT2G37210
AT5G17430,A,AT2G37210
AT5G57390,A,AT2G37210
AT5G65510,A,AT2G37210
AT3G20840,A,AT2G37390
AT3G20840,A,AT2G37400
AT5G17430,A,AT2G37400
AT5G65510,A,AT2G37400
AT3G20840,A,AT2G37990
AT5G17430,A,AT2G37990
AT5G65510,A,AT2G37990
AT3G20840,A,AT2G39020
AT5G17430,A,AT2G39020
AT5G65510,A,AT2G39020
AT3G20840,A,AT2G39795
AT3G20840,A,AT2G40360
AT5G10510,A,AT2G40360
AT5G17430,A,AT2G40360
AT5G17430,A,AT2G40430
AT5G10510,A,AT2G41990
AT5G17430,A,AT2G41990
AT5G57390,A,AT2G41990
AT5G65510,A,AT2G41990
AT3G20840,A,AT2G43530
AT1G51190,A,AT2G43530
AT5G10510,A,AT2G43530
AT5G65510,A,AT2G43530
AT3G20840,A,AT2G43780
AT5G17430,A,AT2G43780
AT5G65510,A,AT2G43780
AT3G20840,A,AT2G43800
AT1G51190,A,AT2G43800
AT5G17430,A,AT2G43800
AT5G57390,A,AT2G43800
AT5G65510,A,AT2G43800
AT5G10510,A,AT2G44510
AT5G17430,A,AT2G44510
AT5G57390,A,AT2G44510
AT5G65510,A,AT2G44510
AT3G20840,A,AT2G45340
AT1G51190,A,AT2G45340
AT5G65510,A,AT2G45340
AT5G17430,A,AT2G45440
AT3G20840,A,AT2G45520
AT5G17430,A,AT2G45520
AT5G65510,A,AT2G45520
AT3G20840,A,AT2G46850
AT1G51190,A,AT2G46850
AT5G65510,A,AT2G46850
AT3G20840,A,AT2G47790
AT5G10510,A,AT2G47790
AT5G17430,A,AT2G47790
AT5G65510,A,AT2G47790
AT3G20840,A,AT2G47990
AT5G10510,A,AT2G47990
AT5G17430,A,AT2G47990
AT5G57390,A,AT2G47990
AT5G65510,A,AT2G47990
AT5G65510,A,AT3G01410
AT3G20840,A,AT3G01840
AT1G51190,A,AT3G01840
AT5G65510,A,AT3G01840
AT3G20840,A,AT3G02210
AT1G51190,A,AT3G02210
AT5G10510,A,AT3G02210
AT5G17430,A,AT3G02210
AT5G57390,A,AT3G02210
AT5G65510,A,AT3G02210
AT3G20840,A,AT3G02490
AT5G17430,A,AT3G02490
AT5G65510,A,AT3G02490
AT3G20840,A,AT3G03920
AT5G10510,A,AT3G03920
AT5G17430,A,AT3G03920
AT5G57390,A,AT3G03920
AT5G65510,A,AT3G03920
AT3G20840,A,AT3G03950
AT5G17430,A,AT3G03950
AT5G65510,A,AT3G03950
AT3G20840,A,AT3G04980
AT5G10510,A,AT3G05190
AT3G20840,A,AT3G05330
AT5G65510,A,AT3G05330
AT1G51190,R,AT3G05470
AT3G20840,A,AT3G06530
AT5G10510,A,AT3G06530
AT5G17430,A,AT3G06530
AT5G57390,A,AT3G06530
AT5G65510,A,AT3G06530
AT3G20840,A,AT3G06790
AT3G20840,A,AT3G06930
AT5G17430,A,AT3G06930
AT3G20840,A,AT3G07030
AT5G65510,A,AT3G07030
AT3G20840,A,AT3G07050
AT5G10510,A,AT3G07050
AT5G17430,A,AT3G07050
AT5G57390,A,AT3G07050
AT5G65510,A,AT3G07050
AT5G17430,A,AT3G07630
AT3G20840,A,AT3G09720
AT5G17430,A,AT3G09720
AT5G57390,A,AT3G09720
AT5G65510,A,AT3G09720
AT3G20840,A,AT3G10780
AT1G51190,A,AT3G10780
AT5G65510,A,AT3G10780
AT3G20840,A,AT3G11220
AT3G20840,A,AT3G11520
AT5G65510,A,AT3G11520
AT3G20840,A,AT3G11964
AT5G17430,A,AT3G11964
AT5G65510,A,AT3G11964
AT3G20840,A,AT3G12170
AT5G57390,A,AT3G12170
AT5G65510,A,AT3G12170
AT3G20840,A,AT3G12770
AT5G10510,A,AT3G12770
AT5G17430,A,AT3G12770
AT5G57390,A,AT3G12770
AT5G65510,A,AT3G12770
AT3G20840,A,AT3G12860
AT1G51190,A,AT3G12860
AT5G10510,A,AT3G12860
AT5G17430,A,AT3G12860
AT5G57390,A,AT3G12860
AT5G65510,A,AT3G12860
AT3G20840,A,AT3G13150
AT1G51190,A,AT3G13150
AT5G17430,A,AT3G13150
AT5G65510,A,AT3G13150
AT3G20840,A,AT3G13222
AT1G51190,A,AT3G13222
AT5G17430,A,AT3G13222
AT5G65510,A,AT3G13222
AT3G20840,A,AT3G13350
AT5G65510,A,AT3G13350
AT3G20840,A,AT3G13940
AT5G10510,A,AT3G13940
AT5G17430,A,AT3G13940
AT5G57390,A,AT3G13940
AT5G65510,A,AT3G13940
AT3G20840,A,AT3G14360
AT5G10510,A,AT3G14360
AT5G17430,A,AT3G14360
AT5G57390,A,AT3G14360
AT5G65510,A,AT3G14360
AT3G20840,A,AT3G14730
AT3G20840,A,AT3G14890
AT1G51190,A,AT3G14890
AT5G10510,A,AT3G14890
AT5G17430,A,AT3G14890
AT5G57390,A,AT3G14890
AT5G65510,A,AT3G14890
AT3G20840,A,AT3G15000
AT5G17430,A,AT3G15000
AT5G65510,A,AT3G15000
AT3G20840,A,AT3G15080
AT5G17430,A,AT3G15080
AT5G65510,A,AT3G15080
AT3G20840,R,AT3G15570
AT1G51190,R,AT3G15570
AT5G17430,A,AT3G15590
AT3G20840,A,AT3G15680
AT1G51190,A,AT3G15680
AT5G10510,A,AT3G15680
AT5G17430,A,AT3G15680
AT5G57390,A,AT3G15680
AT5G65510,A,AT3G15680
AT3G20840,A,AT3G15720
AT1G51190,A,AT3G15720
AT5G10510,A,AT3G15720
AT5G17430,A,AT3G15720
AT5G57390,A,AT3G15720
AT5G65510,A,AT3G15720
AT3G20840,A,AT3G16730
AT5G65510,A,AT3G16730
AT3G20840,A,AT3G16810
AT1G51190,A,AT3G16810
AT5G17430,A,AT3G16810
AT5G65510,A,AT3G16810
AT5G17430,A,AT3G16840
AT3G20840,A,AT3G17360
AT3G20840,A,AT3G17590
AT5G10510,A,AT3G17590
AT5G17430,A,AT3G17590
AT5G57390,A,AT3G17590
AT5G65510,A,AT3G17590
AT3G20840,A,AT3G18524
AT5G65510,A,AT3G18524
AT5G17430,A,AT3G18600
AT3G20840,A,AT3G18610
AT1G51190,A,AT3G18610
AT5G17430,A,AT3G18610
AT5G57390,A,AT3G18610
AT5G65510,A,AT3G18610
AT3G20840,A,AT3G19440
AT5G10510,A,AT3G19440
AT5G17430,A,AT3G19440
AT5G57390,A,AT3G19440
AT5G65510,A,AT3G19440
AT1G51190,A,AT3G19500
AT3G20840,A,AT3G21110
AT5G10510,A,AT3G21110
AT5G17430,A,AT3G21110
AT5G57390,A,AT3G21110
AT5G65510,A,AT3G21110
AT3G20840,A,AT3G21480
AT5G17430,A,AT3G21480
AT5G65510,A,AT3G21480
AT3G20840,A,AT3G21540
AT1G51190,A,AT3G21540
AT5G10510,A,AT3G21540
AT5G17430,A,AT3G21540
AT5G57390,A,AT3G21540
AT5G65510,A,AT3G21540
AT3G20840,A,AT3G23830
AT5G10510,A,AT3G23830
AT5G17430,A,AT3G23830
AT5G57390,A,AT3G23830
AT5G65510,A,AT3G23830
AT3G20840,A,AT3G24080
AT5G17430,A,AT3G24080
AT3G20840,A,AT3G25940
AT5G10510,A,AT3G25940
AT5G17430,A,AT3G25940
AT5G57390,A,AT3G25940
AT3G20840,A,AT3G25980
AT3G20840,A,AT3G26410
AT5G10510,A,AT3G26410
AT5G17430,A,AT3G26410
AT5G57390,A,AT3G26410
AT5G65510,A,AT3G26410
AT3G20840,A,AT3G26850
AT5G17430,A,AT3G26850
AT5G65510,A,AT3G26850
AT3G20840,A,AT3G29300
AT1G51190,A,AT3G29300
AT5G65510,A,AT3G29300
AT1G51190,A,AT3G30350
AT3G20840,A,AT3G43210
AT3G20840,A,AT3G43920
AT3G20840,A,AT3G44050
AT3G20840,A,AT3G48250
AT1G51190,A,AT3G48250
AT5G10510,A,AT3G48250
AT5G17430,A,AT3G48250
AT5G57390,A,AT3G48250
AT5G65510,A,AT3G48250
AT3G20840,A,AT3G48710
AT5G65510,A,AT3G48710
AT5G17430,A,AT3G49240
AT3G20840,A,AT3G49320
AT1G51190,A,AT3G49320
AT5G10510,A,AT3G49320
AT5G17430,A,AT3G49320
AT5G57390,A,AT3G49320
AT5G65510,A,AT3G49320
AT3G20840,A,AT3G49660
AT3G20840,A,AT3G51530
AT3G20840,R,AT3G51870
AT3G20840,A,AT3G53190
AT5G10510,A,AT3G53190
AT5G17430,A,AT3G53190
AT3G20840,A,AT3G53940
AT5G10510,A,AT3G53940
AT5G17430,A,AT3G53940
AT5G57390,A,AT3G53940
AT5G65510,A,AT3G53940
AT5G17430,A,AT3G55400
AT3G20840,A,AT3G55510
AT5G10510,A,AT3G55510
AT5G17430,A,AT3G55510
AT5G57390,A,AT3G55510
AT5G65510,A,AT3G55510
AT3G20840,A,AT3G56070
AT5G10510,A,AT3G56070
AT5G17430,A,AT3G56070
AT5G57390,A,AT3G56070
AT5G65510,A,AT3G56070
AT3G20840,A,AT3G56270
AT5G65510,A,AT3G56270
AT3G20840,A,AT3G56330
AT3G20840,A,AT3G56490
AT1G51190,A,AT3G56490
AT3G20840,A,AT3G56690
AT5G65510,A,AT3G56900
AT3G20840,A,AT3G57150
AT5G10510,A,AT3G57150
AT5G17430,A,AT3G57150
AT5G57390,A,AT3G57150
AT5G65510,A,AT3G57150
AT3G20840,A,AT3G57160
AT1G51190,A,AT3G57160
AT5G65510,A,AT3G57160
AT3G20840,A,AT3G57860
AT3G20840,A,AT3G57940
AT5G10510,A,AT3G57940
AT5G17430,A,AT3G57940
AT5G57390,A,AT3G57940
AT5G65510,A,AT3G57940
AT3G20840,A,AT3G58660
AT5G10510,A,AT3G58660
AT5G17430,A,AT3G58660
AT5G57390,A,AT3G58660
AT5G65510,A,AT3G58660
AT3G20840,A,AT3G59670
AT1G51190,A,AT3G59670
AT5G10510,A,AT3G59670
AT5G17430,A,AT3G59670
AT5G57390,A,AT3G59670
AT5G65510,A,AT3G59670
AT3G20840,A,AT3G61620
AT5G17430,A,AT3G61620
AT5G65510,A,AT3G61620
AT3G20840,A,AT3G62100
AT1G51190,A,AT3G62100
AT5G17430,A,AT3G62100
AT5G65510,A,AT3G62100
AT5G17430,A,AT3G62310
AT5G65510,A,AT3G62310
AT3G20840,A,AT3G62320
AT1G51190,A,AT3G62320
AT5G65510,A,AT3G62320
AT3G20840,A,AT3G62760
AT1G51190,A,AT3G62760
AT5G10510,A,AT3G62760
AT5G17430,A,AT3G62760
AT5G65510,A,AT3G62760
AT3G20840,A,AT3G63130
AT3G20840,A,AT4G01270
AT5G65510,A,AT4G01270
AT3G20840,A,AT4G01460
AT5G17430,A,AT4G01460
AT5G65510,A,AT4G01460
AT3G20840,A,AT4G01790
AT5G17430,A,AT4G01790
AT5G65510,A,AT4G01790
AT3G20840,A,AT4G02460
AT5G17430,A,AT4G02460
AT5G57390,A,AT4G02460
AT5G65510,A,AT4G02460
AT3G20840,A,AT4G02750
AT1G51190,A,AT4G02750
AT5G10510,A,AT4G02750
AT5G17430,A,AT4G02750
AT5G65510,A,AT4G02750
AT3G20840,A,AT4G02820
AT5G10510,A,AT4G02820
AT5G17430,A,AT4G02820
AT5G65510,A,AT4G02820
AT3G20840,A,AT4G03100
AT3G20840,A,AT4G03210
AT1G51190,A,AT4G03210
AT5G10510,A,AT4G03210
AT5G17430,A,AT4G03210
AT5G57390,A,AT4G03210
AT5G65510,A,AT4G03210
AT3G20840,A,AT4G04940
AT5G10510,A,AT4G04940
AT5G17430,A,AT4G04940
AT5G57390,A,AT4G04940
AT5G65510,A,AT4G04940
AT3G20840,A,AT4G04950
AT3G20840,A,AT4G05410
AT5G10510,A,AT4G05410
AT5G17430,A,AT4G05410
AT5G65510,A,AT4G05410
AT3G20840,A,AT4G05440
AT5G17430,A,AT4G05440
AT5G57390,A,AT4G05440
